DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/4c6dc9f75848c01b386e4356ef4f8019
Overall Reaction SMILES:,C(C)(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C>ClCCl.C(C)(C)(C)OO.[Se](=O)=O.[O-]S(=O)(=S)[O-].[Na+].[Na+]>C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C
Role,Name,SMILES,Ratio
reactant,"(2E,6E)-Farnesyl Acetate",C(C)(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C,1.0
solvent,dichloromethane,ClCCl,31.1
oxidizing agent,tert-butyl hydroperoxide,C(C)(C)(C)OO,3.0
reagent,selenium dioxide,[Se](=O)=O,0.3
quench,sodium thiosulfate,[O-]S(=O)(=S)[O-].[Na+].[Na+],6.4
product,"(2E,6E,10E)-12-oxo-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C,

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/bdd4a1e5f509dbac291ee6f77bf3a955
Overall Reaction SMILES:,C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C>CO[H].[Na+].[BH4-]>C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C
Role,Name,SMILES,Ratio
reactant,"(2E,6E,10E)-12-oxo-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C,1.0
solvent,methanol,CO[H],49.0
reducing agent,sodium borohydride,[Na+].[BH4-],1.0
product,"(2E,6E,10E)-12-Hydroxy-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C,0.5

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/d6af14307ac9a657751becf37f7c7569
Overall Reaction SMILES:,C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C>ClCCl.ClC=1C=C(C(=O)OO)C=CC1.C(O)([O-])=O.[Na+]>C(C)(=O)OC\C=C(\CC\C=C(\CCC1OC1(C)CO)/C)/C
Role,Name,SMILES,Ratio
reactant,"(2E,6E,10E)-12-Hydroxy-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C,1.0
solvent,dichloromethane,ClCCl,264
oxidizing agent,meta-chloroperoxybenzoic acid,ClC=1C=C(C(=O)OO)C=CC1,1.0
quench,sodium hydrogen carbonate,C(O)([O-])=O.[Na+],727
product,"(2E,6E)-9-(3-(Hydroxymethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CCC1OC1(C)CO)/C)/C,0.7

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/7492b8e3c3f2b9f21ea192d6b1df603c
Overall Reaction SMILES:,C(C1=CC=CC=C1)(=O)Cl.C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C>C1(=CC=NC=C1)N(C)C.ClCCl.CCN(CC)CC>C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CC\C(=C\CC\C(=C\COC(C)=O)\C)\C)C
Role,Name,SMILES,Ratio
reactant,"(2E,6E)-9-((2S,3S)-3-(Hydroxymethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C,1.0
catalyst,4-dimethylaminopyridine,C1(=CC=NC=C1)N(C)C,0.2
solvent,dichloromethane,ClCCl,184
base,triethylamine,CCN(CC)CC,1.5
building block,benzoyl chloride,C(C1=CC=CC=C1)(=O)Cl,1.2
product,"((2S,3S)-3-((3E,7E)-9-Acetoxy-3,7-dimethylnona-3,7-dien-1-yl)-2-methyloxiran-2-yl)methyl benzoate",C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CC\C(=C\CC\C(=C\COC(C)=O)\C)\C)C,0.9

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/c771722dd1fb3f306669bd9d15601987
Overall Reaction SMILES:,C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C>ClCCl.C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O>C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C
Role,Name,SMILES,Ratio
reactant,"(2E,6E)-9-((2S,3S)-3-(Hydroxymethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C,1.0
solvent,dichloromethane,ClCCl,47.3
oxidizing agent,"3-Oxo-1,3-dihydro-1λ5,2-benziodoxole-1,1,1-triyl triacetate",C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O,1.2
product,"(2E,6E)-9-((2S,3S)-3-(oxomethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C,

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/cc23e4631d50c7edc0c349109253f70a
Overall Reaction SMILES:,C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C>O.C1CCCO1.CC(C)(C)O.Cl(=O)[O-].[Na+].CC(C)=CC>C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C
Role,Name,SMILES,Ratio
reactant,"(2E,6E)-9-((2S,3S)-3-(oxomethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C,1.0
solvent,water,O,167
solvent,tetrahydrofuran,C1CCCO1,37.2
solvent,tert-Butyl alcohol,CC(C)(C)O,2.9
oxidizing agent,sodium chlorite,Cl(=O)[O-].[Na+],2.0
reagent,2-methylbut-2-ene,CC(C)=CC,10.0
buffer,monopotassium phosphate,P(=O)(O)(O)[O-].[K+],5.0
product,"(2E,6E)-9-((2S,3S)-3-(hydroxyoxomethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C,

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/d2a7624757841db6e86256f09356c828
